SubjectName,SubjectCode,ChapterName,ChapterCode,TopicName,TopicCode,TopicID,Status,TopicStartDate,TopicEndDate,DisplayOrder
Biology,Bio,Sexual Reproduction In Flowering Plants,Ch01,Flower+ Microsprorogensis,T01,Bio-Ch01-T01,NotStarted,,,1
Biology,Bio,Sexual Reproduction In Flowering Plants,Ch01,Megasprorogensis + Double Fertilization,T02,Bio-Ch01-T02,NotStarted,,,2
Biology,Bio,Sexual Reproduction In Flowering Plants,Ch01,Pollination,T03,Bio-Ch01-T03,NotStarted,,,3
Biology,Bio,Sexual Reproduction In Flowering Plants,Ch01,Post fertilization,T04,Bio-Ch01-T04,NotStarted,,,4
Biology,Bio,Sexual Reproduction In Flowering Plants,Ch01,"Apomixis, polyembryony",T05,Bio-Ch01-T05,NotStarted,,,5
Biology,Bio,Human Reproduction,Ch02,Male Reproductive System,T01,Bio-Ch02-T01,NotStarted,,,1
Biology,Bio,Human Reproduction,Ch02,"Spermatogenesis, Structure of sperm",T02,Bio-Ch02-T02,NotStarted,,,2
Biology,Bio,Human Reproduction,Ch02,Female reproductive system,T03,Bio-Ch02-T03,NotStarted,,,3
Biology,Bio,Human Reproduction,Ch02,"Folliculogenesis, Oogenesis",T04,Bio-Ch02-T04,NotStarted,,,4
Biology,Bio,Human Reproduction,Ch02,Menstrual cycle,T05,Bio-Ch02-T05,NotStarted,,,5
Biology,Bio,Human Reproduction,Ch02,"Placenta, Fertilization",T06,Bio-Ch02-T06,NotStarted,,,6
Biology,Bio,Human Reproduction,Ch02,Post embryonic development,T07,Bio-Ch02-T07,NotStarted,,,7
Biology,Bio,Human Reproduction,Ch02,"Parturition, lactation",T08,Bio-Ch02-T08,NotStarted,,,8
Biology,Bio,Reproductive Health,Ch03,Introduction,T01,Bio-Ch03-T01,NotStarted,,,1
Biology,Bio,Reproductive Health,Ch03,Contraceptive Devices,T02,Bio-Ch03-T02,NotStarted,,,2
Biology,Bio,Reproductive Health,Ch03,MTP & ART,T03,Bio-Ch03-T03,NotStarted,,,3
Biology,Bio,Principle Of Inheritance & Variation,Ch04,Introduction,T01,Bio-Ch04-T01,NotStarted,,,1
Biology,Bio,Principle Of Inheritance & Variation,Ch04,Mendels Monohybrid,T02,Bio-Ch04-T02,NotStarted,,,2
Biology,Bio,Principle Of Inheritance & Variation,Ch04,Dihybrid cross Exception of Mendelism,T03,Bio-Ch04-T03,NotStarted,,,3
Biology,Bio,Principle Of Inheritance & Variation,Ch04,Linkage & Recombination,T04,Bio-Ch04-T04,NotStarted,,,4
Biology,Bio,Principle Of Inheritance & Variation,Ch04,Sex determination,T05,Bio-Ch04-T05,NotStarted,,,5
Biology,Bio,Principle Of Inheritance & Variation,Ch04,Mutation,T06,Bio-Ch04-T06,NotStarted,,,6
Biology,Bio,Principle Of Inheritance & Variation,Ch04,Pedigree analysis,T07,Bio-Ch04-T07,NotStarted,,,7
Biology,Bio,Principle Of Inheritance & Variation,Ch04,Genetic disorders,T08,Bio-Ch04-T08,NotStarted,,,8
Biology,Bio,Molecular Basis Of Inheritance,Ch05,Introduction,T01,Bio-Ch05-T01,NotStarted,,,1
Biology,Bio,Molecular Basis Of Inheritance,Ch05,Structure of DNA,T02,Bio-Ch05-T02,NotStarted,,,2
Biology,Bio,Molecular Basis Of Inheritance,Ch05,Packaging Search for genetic material,T03,Bio-Ch05-T03,NotStarted,,,3
Biology,Bio,Molecular Basis Of Inheritance,Ch05,Replication of DNA,T04,Bio-Ch05-T04,NotStarted,,,4
Biology,Bio,Molecular Basis Of Inheritance,Ch05,Transcription,T05,Bio-Ch05-T05,NotStarted,,,5
Biology,Bio,Molecular Basis Of Inheritance,Ch05,Genetic code & translation,T06,Bio-Ch05-T06,NotStarted,,,6
Biology,Bio,Molecular Basis Of Inheritance,Ch05,Lac Operon,T07,Bio-Ch05-T07,NotStarted,,,7
Biology,Bio,Molecular Basis Of Inheritance,Ch05,Human Genome Project,T08,Bio-Ch05-T08,NotStarted,,,8
Biology,Bio,Molecular Basis Of Inheritance,Ch05,DNA fingerprinting,T09,Bio-Ch05-T09,NotStarted,,,9
Biology,Bio,Evolution,Ch06,Origin of life,T01,Bio-Ch06-T01,NotStarted,,,1
Biology,Bio,Evolution,Ch06,Evidences,T02,Bio-Ch06-T02,NotStarted,,,2
Biology,Bio,Evolution,Ch06,Organic evolution,T03,Bio-Ch06-T03,NotStarted,,,3
Biology,Bio,Evolution,Ch06,plant & animal evolution,T04,Bio-Ch06-T04,NotStarted,,,4
Biology,Bio,Evolution,Ch06,human evolution,T05,Bio-Ch06-T05,NotStarted,,,5
Biology,Bio,Human Health & Disease,Ch07,Diseases,T01,Bio-Ch07-T01,NotStarted,,,1
Biology,Bio,Human Health & Disease,Ch07,Immunity,T02,Bio-Ch07-T02,NotStarted,,,2
Biology,Bio,Human Health & Disease,Ch07,AIDS Cancer,T03,Bio-Ch07-T03,NotStarted,,,3
Biology,Bio,Human Health & Disease,Ch07,Drug & alcohol abuse,T04,Bio-Ch07-T04,NotStarted,,,4
Biology,Bio,Microbes In Human Welfare,Ch08,Household Products,T01,Bio-Ch08-T01,NotStarted,,,1
Biology,Bio,Microbes In Human Welfare,Ch08,"Industrial Products, Sewag Biogas",T02,Bio-Ch08-T02,NotStarted,,,2
Biology,Bio,Microbes In Human Welfare,Ch08,"Biocontrol Agents, Biofertilizers",T03,Bio-Ch08-T03,NotStarted,,,3
Biology,Bio,Biotechnology Principle & Processes,Ch09,Introduction,T01,Bio-Ch09-T01,NotStarted,,,1
Biology,Bio,Biotechnology Principle & Processes,Ch09,Vectors,T02,Bio-Ch09-T02,NotStarted,,,2
Biology,Bio,Biotechnology Principle & Processes,Ch09,PCR,T03,Bio-Ch09-T03,NotStarted,,,3
Biology,Bio,Biotechnology & Its Applications,Ch10,Agriculture,T01,Bio-Ch10-T01,NotStarted,,,1
Biology,Bio,Biotechnology & Its Applications,Ch10,animals,T02,Bio-Ch10-T02,NotStarted,,,2
Biology,Bio,Biotechnology & Its Applications,Ch10,Ethical issues,T03,Bio-Ch10-T03,NotStarted,,,3
Biology,Bio,Organism & Populations,Ch11,Introduction,T01,Bio-Ch11-T01,NotStarted,,,1
Biology,Bio,Organism & Populations,Ch11,Population,T02,Bio-Ch11-T02,NotStarted,,,2
Biology,Bio,Organism & Populations,Ch11,Population Interaction,T03,Bio-Ch11-T03,NotStarted,,,3
Biology,Bio,Ecosystem,Ch12,"Structure, Productivity, Decomposition",T01,Bio-Ch12-T01,NotStarted,,,1
Biology,Bio,Ecosystem,Ch12,"Energy flow, Ecological Pyramids,",T02,Bio-Ch12-T02,NotStarted,,,2
Biology,Bio,Biodiversity & Conservation,Ch13,Introduction,T01,Bio-Ch13-T01,NotStarted,,,1
Biology,Bio,Biodiversity & Conservation,Ch13,Evil Quartet,T02,Bio-Ch13-T02,NotStarted,,,2
Biology,Bio,The Living World,Ch14,Diversity in the Living World,T01,Bio-Ch14-T01,NotStarted,,,1
Biology,Bio,The Living World,Ch14,Taxonomic Categories,T02,Bio-Ch14-T02,NotStarted,,,2
Biology,Bio,Biological Classification,Ch15,Kingdom Monera,T01,Bio-Ch15-T01,NotStarted,,,1
Biology,Bio,Biological Classification,Ch15,Kingdom Protista,T02,Bio-Ch15-T02,NotStarted,,,2
Biology,Bio,Biological Classification,Ch15,Kingdom Fungi,T03,Bio-Ch15-T03,NotStarted,,,3
Biology,Bio,Biological Classification,Ch15,Kingdom Plantae,T04,Bio-Ch15-T04,NotStarted,,,4
Biology,Bio,Biological Classification,Ch15,Kingdom Animalia,T05,Bio-Ch15-T05,NotStarted,,,5
Biology,Bio,Biological Classification,Ch15,"Viruses, Viroid's & Lichens",T06,Bio-Ch15-T06,NotStarted,,,6
Biology,Bio,Plant Kingdom,Ch16,Algae,T01,Bio-Ch16-T01,NotStarted,,,1
Biology,Bio,Plant Kingdom,Ch16,Bryophytes,T02,Bio-Ch16-T02,NotStarted,,,2
Biology,Bio,Plant Kingdom,Ch16,Pteridophytes,T03,Bio-Ch16-T03,NotStarted,,,3
Biology,Bio,Plant Kingdom,Ch16,Gymnocperms,T04,Bio-Ch16-T04,NotStarted,,,4
Biology,Bio,Animal Kingdom,Ch17,Basis Of Classification,T01,Bio-Ch17-T01,NotStarted,,,1
Biology,Bio,Animal Kingdom,Ch17,Classification of Animals,T02,Bio-Ch17-T02,NotStarted,,,2
Biology,Bio,Morphology Of Flowering Plants,Ch18,The Root,T01,Bio-Ch18-T01,NotStarted,,,1
Biology,Bio,Morphology Of Flowering Plants,Ch18,The Stem,T02,Bio-Ch18-T02,NotStarted,,,2
Biology,Bio,Morphology Of Flowering Plants,Ch18,The Leaf,T03,Bio-Ch18-T03,NotStarted,,,3
Biology,Bio,Morphology Of Flowering Plants,Ch18,The Inflorescence,T04,Bio-Ch18-T04,NotStarted,,,4
Biology,Bio,Morphology Of Flowering Plants,Ch18,The Flower,T05,Bio-Ch18-T05,NotStarted,,,5
Biology,Bio,Morphology Of Flowering Plants,Ch18,The Fruit,T06,Bio-Ch18-T06,NotStarted,,,6
Biology,Bio,Morphology Of Flowering Plants,Ch18,The Seed,T07,Bio-Ch18-T07,NotStarted,,,7
Biology,Bio,Morphology Of Flowering Plants,Ch18,Semi-technical Desc of Flowering Plant,T08,Bio-Ch18-T08,NotStarted,,,8
Biology,Bio,Morphology Of Flowering Plants,Ch18,Description of Some Important Families,T09,Bio-Ch18-T09,NotStarted,,,9
Biology,Bio,Anatomy Of Flowering Plants,Ch19,The Tissue system,T01,Bio-Ch19-T01,NotStarted,,,1
Biology,Bio,Anatomy Of Flowering Plants,Ch19,Anatomy of Dicotyledonous Monocotyledonous & plants,T02,Bio-Ch19-T02,NotStarted,,,2
Biology,Bio,Anatomy Of Flowering Plants,Ch19,Secondary Growth,T03,Bio-Ch19-T03,NotStarted,,,3
Biology,Bio,Structural Organisation In Animals,Ch20,Organ & Organ System,T01,Bio-Ch20-T01,NotStarted,,,1
Biology,Bio,Structural Organisation In Animals,Ch20,Cockroach,T02,Bio-Ch20-T02,NotStarted,,,2
Biology,Bio,Structural Organisation In Animals,Ch20,Frogs,T03,Bio-Ch20-T03,NotStarted,,,3
Biology,Bio,Cell : The Unit Of Life,Ch21,What is a Cell?,T01,Bio-Ch21-T01,NotStarted,,,1
Biology,Bio,Cell : The Unit Of Life,Ch21,Cell Theory,T02,Bio-Ch21-T02,NotStarted,,,2
Biology,Bio,Cell : The Unit Of Life,Ch21,An Overview of Cell,T03,Bio-Ch21-T03,NotStarted,,,3
Biology,Bio,Cell : The Unit Of Life,Ch21,Prokaryotic Cells,T04,Bio-Ch21-T04,NotStarted,,,4
Biology,Bio,Cell Cycle & Cell Division,Ch22,Cell Cycle,T01,Bio-Ch22-T01,NotStarted,,,1
Biology,Bio,Cell Cycle & Cell Division,Ch22,M Phase,T02,Bio-Ch22-T02,NotStarted,,,2
